SOURCE_ID,ra,dec,phot_g_mean_mag
3933635206376457728,187.47078703306073,15.36764737124366,14.738473
3945394002200282496,186.09132501390326,15.890713887579736,14.8529825
3945394380157403392,186.0087191790877,15.877037988457756,13.689665
3945395376589813888,185.89394941133568,15.829553339349383,9.915957
3945396269943001216,185.84486257546766,15.84002258167423,14.459597
3945396991495784832,185.9310586282479,15.907579421489633,10.845982
3945396991497519104,185.9309053178591,15.907214532980207,14.839968
3945400427471381504,186.36634755042675,15.79292086553711,11.812682
3945400839788241024,186.3143805223202,15.785437453989882,14.821045
3945401904940161664,186.44053722617664,15.81824204338553,12.845782
3945402592134900992,186.43219537783028,15.863601443739196,13.503202
3945404069603647744,186.24633193587698,15.817415468721002,13.881364
3945405753230829952,186.26368475562697,15.895298608853299,14.875927
3945406096828214144,186.2266820228698,15.926561714432507,12.60438
3945406921461937024,186.38159934454558,15.949235789441328,14.107347
3945407471217750144,186.2995908502413,15.946482459244393,13.090902
3945407952254088320,186.34380932833648,15.97743090013636,13.848998
3945410082557896832,186.4957262176326,15.966951851383914,13.755224
3945410357435776512,186.47141385929814,15.987333203857341,14.896526
3945410426155280896,186.50478635063536,15.992930080122255,13.488342
3945410632313711360,186.58141645988485,15.967595745679162,13.322949
3945410941551357440,186.5686298077535,15.99618882743952,14.660756
3945411731825339776,186.53529903287105,16.009752529642384,14.051129
3945412384660370176,186.62811718756936,16.068893589395696,12.794079
3945413312373276416,186.4651222209361,15.994344013540744,14.07988
3945413518531707648,186.4669198584626,16.02861019886385,13.845884
3945414171365132032,186.36118218831015,16.02257974009538,11.590974
3945414308805689216,186.3800650002346,16.03913199875823,14.50852
3945415099079700736,186.53492482346246,16.054302070390705,10.940118
3945415167799150592,186.50995434827132,16.065943764284512,13.624921
3945415923713395968,186.54963822948247,16.111875367063384,10.629991
3945418328895047680,186.09832889112937,15.920008645452857,14.85083
3945418569413216768,186.0967615994466,15.952083315306472,14.28073
3945419153528769920,186.1225249556786,15.979025412761622,12.477229
3945420287400162816,186.2580225196109,16.029073787928574,13.478225
3945421008954644736,186.2343624928295,16.03594834141621,14.649687
3945423070538944384,186.02622663593564,16.034062611004288,13.967034
3945424032611620096,186.13683242790282,16.05375984357635,13.712261
3945428465017899264,186.4098513476982,16.14377183392954,14.237287
3945428671176330240,186.41859274673777,16.166308185752804,14.933498
3945429186572407552,186.44966944950883,16.194077212460964,13.42192
3945429358371096960,186.36446900370098,16.17137056102359,7.9778156
3945429736328220288,186.36486089272464,16.196798186648962,14.765109
3945429976846390528,186.4494894849411,16.225387582562956,11.584878
3945431282516419200,186.2570164274103,16.18869831668127,12.916996
3945432072790401280,186.22674247339597,16.194810772562697,7.79377
3945432450747524224,186.2486404649903,16.24188529222277,14.012003
3945433412820227200,186.36084964761744,16.256459423013755,14.939071
3945441968394544256,184.96329587977556,15.307430624940638,12.69279
3945441968394861056,184.95369688213944,15.314967990671787,11.367421
3945443342784054912,184.88690371666735,15.37120572408949,12.946238
3945444717173614336,185.04397683175932,15.299593611768945,14.687004
3945444923332045056,185.0319390428832,15.307715432671266,14.740918
3950971549809342080,182.73745902089937,19.517844941212072,14.591009
3950971859046987648,182.72532969493415,19.53693706008754,13.720388
3945446503880029696,185.2361637870607,15.405374426998666,14.424979
3945449630616203264,185.01139660268373,15.42458415386097,14.038034
3945451279883645568,185.05941721458908,15.463005287351256,14.078713
3945453341467918464,184.80118770997458,15.352606715292577,14.04685
3945453478906870656,184.7136155583505,15.301837713377463,12.097042
3945454127445727104,184.7667292187562,15.353780076564128,13.7095585
3945457808233907200,184.70607126940865,15.435856168149005,14.794223
3945458117471525888,184.5880501646777,15.395312552138751,14.007577
3945459457501350784,184.74154961335566,15.473562064687378,13.988543
3945460453933763072,184.7030486739756,15.486688321962454,13.562413
3945464096066058368,185.05779692973167,15.55725062092295,11.168153
3945465504815333504,185.01529039628312,15.627296210784369,13.857692
3945466260729549312,184.90467540824113,15.555518577471446,14.147936
3945466638686670464,184.78825278006855,15.536342634155002,14.590615
3945470383898195712,185.2793654106389,15.46496150304035,13.133284
3945471792647470976,185.28317067621603,15.522760914605593,14.905235
3945472239324070144,185.36472024646332,15.51644927679823,13.423305
3945473648073343872,185.31276438267795,15.568875072538026,13.887003
3945474266548635392,185.35055100073117,15.611212053520147,13.84505
3945474988103123968,185.22920993802018,15.557767672472048,12.704672
3945474781944707840,185.20275083894757,15.540983481537651,6.1869907
3945468081795683200,184.88838667798342,15.592089866318963,13.028951
3945468665911237120,184.94067950729115,15.646322699775144,13.636137
3945475503499509888,185.13040371061473,15.537915713995158,13.28734
3945476980967965952,185.28729024069727,15.620213041982712,14.237014
3945480721883435904,185.41576728876083,15.678540380922957,14.743281
3945482375446892416,185.458902689236,15.721790037817634,11.990404
3945484059074071936,185.38000070829037,15.71940304200088,13.172787
3945486395536283776,185.4857110875618,15.822079701991116,14.551612
3945487838644230784,185.0914965400564,15.59542405771284,11.2743435
3945488113523181312,185.1482139391555,15.61138136387574,13.778857
3945488147882919552,185.1325465144127,15.616205137832054,10.459112
3945491824374927360,185.19898579111316,15.76760712301987,12.187061
3945491824374927744,185.1969076817202,15.776567990305612,12.821041
3945492477209954560,185.05392481474595,15.68294513133359,12.149585
