pl_name,pl_orbper,pl_rade,pl_bmasse,sy_dist,ra,dec,sky_coord.ra,sky_coord.dec
11 Com b,,,5434.7,93.1846,185.1787793,17.7932516,185.1787793,17.7932516
11 Com b,326.03,,6165.6,93.1846,185.1787793,17.7932516,185.1787793,17.7932516
11 Com b,323.21,,4914.89849,93.1846,185.1787793,17.7932516,185.1787793,17.7932516
11 UMi b,516.21997,,4684.8142,125.321,229.2745954,71.8239428,229.2745954,71.8239428
11 UMi b,,,3432.4,125.321,229.2745954,71.8239428,229.2745954,71.8239428
11 UMi b,516.22,,3337.07,125.321,229.2745954,71.8239428,229.2745954,71.8239428
14 And b,186.76,,1131.1513,75.4392,352.82415,39.2358367,352.82415,39.2358367
14 And b,,,1017.0,75.4392,352.82415,39.2358367,352.82415,39.2358367
14 And b,185.84,,1525.5,75.4392,352.82415,39.2358367,352.82415,39.2358367
14 Her b,1773.4,,1474.67,17.9323,242.6021014,43.8163621,242.6021014,43.8163621
14 Her b,1766.0,,1581.138,17.9323,242.6021014,43.8163621,242.6021014,43.8163621
14 Her b,1765.0389,,2559.47216,17.9323,242.6021014,43.8163621,242.6021014,43.8163621
14 Her b,1773.40002,,1481.0878,17.9323,242.6021014,43.8163621,242.6021014,43.8163621
14 Her b,1796.4,,1506.45,17.9323,242.6021014,43.8163621,242.6021014,43.8163621
14 Her b,1766.41,,1541.46777,17.9323,242.6021014,43.8163621,242.6021014,43.8163621
14 Her b,1724.0,,1554.12,17.9323,242.6021014,43.8163621,242.6021014,43.8163621
14 Her b,,,1440.663,17.9323,242.6021014,43.8163621,242.6021014,43.8163621
16 Cyg B b,799.45,,556.83537,21.1397,295.4656422,50.5168243,295.4656422,50.5168243
16 Cyg B b,798.5,,533.9544,21.1397,295.4656422,50.5168243,295.4656422,50.5168243
16 Cyg B b,800.8,,476.7,21.1397,295.4656422,50.5168243,295.4656422,50.5168243
16 Cyg B b,799.5,,533.93,21.1397,295.4656422,50.5168243,295.4656422,50.5168243
16 Cyg B b,799.5,,533.93,21.1397,295.4656422,50.5168243,295.4656422,50.5168243
16 Cyg B b,798.5,,565.7374,21.1397,295.4656422,50.5168243,295.4656422,50.5168243
17 Sco b,578.38,,1373.01872,124.953,243.4620874,-11.8377905,243.4620874,-11.8377905
18 Del b,993.3,,3273.5,76.222,314.6078375,10.8391378,314.6078375,10.8391378
18 Del b,982.85,,2926.24614,76.222,314.6078375,10.8391378,314.6078375,10.8391378
18 Del b,,,3127.3,76.222,314.6078375,10.8391378,314.6078375,10.8391378
1RXS J160929.1-210524 b,,,4000.0,139.135,242.3762343,-21.0831403,242.3762343,-21.0831403
1RXS J160929.1-210524 b,,,3000.0,139.135,242.3762343,-21.0831403,242.3762343,-21.0831403
1RXS J160929.1-210524 b,,,3000.0,139.135,242.3762343,-21.0831403,242.3762343,-21.0831403
1RXS J160929.1-210524 b,,18.647,2543.0,139.135,242.3762343,-21.0831403,242.3762343,-21.0831403
24 Boo b,30.3506,,289.2253,95.9863,217.1555242,49.8446488,217.1555242,49.8446488
24 Boo b,30.33,,280.64248,95.9863,217.1555242,49.8446488,217.1555242,49.8446488
24 Sex b,452.8,,632.46,72.0691,155.8684866,-0.9023998,155.8684866,-0.9023998
24 Sex c,883.0,,273.32,72.0691,155.8684866,-0.9023998,155.8684866,-0.9023998
2M0437 b,,,1271.31363,128.484,69.3405531,26.8502997,69.3405531,26.8502997
2MASS J01033563-5515561 AB b,,,4131.79,,15.8992489,-55.2658291,15.8992489,-55.2658291
2MASS J01225093-2439505 b,,11.209,,33.8281,20.7128012,-24.6646128,20.7128012,-24.6646128
2MASS J01225093-2439505 b,,,7786.5,33.8281,20.7128012,-24.6646128,20.7128012,-24.6646128
2MASS J02192210-3925225 b,,16.141,4417.837,,34.8427046,-39.4230767,34.8427046,-39.4230767
2MASS J0249-0557 c,,,3686.80952,66.0613,42.4851627,-5.9599921,42.4851627,-5.9599921
2MASS J03590986+2009361 b,,,5720.91133,117.435,59.7911026,20.1599759,59.7911026,20.1599759
2MASS J04414489+2301513 b,,,2383.6,,70.4371079,23.0308544,70.4371079,23.0308544
2MASS J11011926-7732383 b,,,8899.1954,,165.3295388,-77.5440912,165.3295388,-77.5440912
2MASS J11550485-7919108 b,,,6356.56814,100.862,178.7691634,-79.3197558,178.7691634,-79.3197558
2MASS J12073346-3932539 b,,,1589.15,64.308,181.8890906,-39.5484399,181.8890906,-39.5484399
2MASS J12073346-3932539 b,,,1271.0,64.308,181.8890906,-39.5484399,181.8890906,-39.5484399
2MASS J19383260+4603591 b,406.0,,591.16084,396.332,294.6359173,46.0664076,294.6359173,46.0664076
2MASS J19383260+4603591 b,416.0,,603.877,396.332,294.6359173,46.0664076,294.6359173,46.0664076
2MASS J21252752-8138278 b,,,3813.94088,34.1154,321.3662989,-81.6414894,321.3662989,-81.6414894
2MASS J22362452+4751425 b,,,3972.875,69.5737,339.1025931,47.861683,339.1025931,47.861683
30 Ari B b,335.1,,3140.03,44.657,39.2412736,24.6480103,39.2412736,24.6480103
30 Ari B b,345.4,,2097.678,44.657,39.2412736,24.6480103,39.2412736,24.6480103
30 Ari B b,335.10001,,4392.4106,44.657,39.2412736,24.6480103,39.2412736,24.6480103
4 UMa b,270.27,,2511.48007,73.4603,130.0528099,64.3280504,130.0528099,64.3280504
4 UMa b,269.3,,2256.5,73.4603,130.0528099,64.3280504,130.0528099,64.3280504
42 Dra b,479.1,,1233.13,90.6545,276.4975053,65.5633652,276.4975053,65.5633652
47 UMa b,1076.6,,778.6835,13.7967,164.8647611,40.4304931,164.8647611,40.4304931
47 UMa b,1078.0,,804.08,13.7967,164.8647611,40.4304931,164.8647611,40.4304931
47 UMa b,1100.8,,877.17,13.7967,164.8647611,40.4304931,164.8647611,40.4304931
47 UMa b,1083.2,,826.32,13.7967,164.8647611,40.4304931,164.8647611,40.4304931
47 UMa b,1076.6,,774.86566,13.7967,164.8647611,40.4304931,164.8647611,40.4304931
47 UMa c,2391.0,,171.621,13.7967,164.8647611,40.4304931,164.8647611,40.4304931
47 UMa c,7586.0,,425.87,13.7967,164.8647611,40.4304931,164.8647611,40.4304931
47 UMa c,2287.0,,157.96072,13.7967,164.8647611,40.4304931,164.8647611,40.4304931
47 UMa d,14002.0,,521.22,13.7967,164.8647611,40.4304931,164.8647611,40.4304931
47 UMa d,19000.0,,479.92089,13.7967,164.8647611,40.4304931,164.8647611,40.4304931
51 Eri b,14965.0,,,29.7575,69.4007424,-2.4738245,69.4007424,-2.4738245
51 Eri b,11688.0,,,29.7575,69.4007424,-2.4738245,69.4007424,-2.4738245
51 Eri b,,,635.66,29.7575,69.4007424,-2.4738245,69.4007424,-2.4738245
51 Peg b,4.23077,,148.738,15.4614,344.3675399,20.7690958,344.3675399,20.7690958
51 Peg b,4.2293,,149.3801,15.4614,344.3675399,20.7690958,344.3675399,20.7690958
51 Peg b,4.2307969,,147.47238,15.4614,344.3675399,20.7690958,344.3675399,20.7690958
51 Peg b,4.231,,146.2018,15.4614,344.3675399,20.7690958,344.3675399,20.7690958
51 Peg b,4.230785,,150.009,15.4614,344.3675399,20.7690958,344.3675399,20.7690958
55 Cnc b,14.65162,,261.881,12.5855,133.1468373,28.3298154,133.1468373,28.3298154
55 Cnc b,14.65126,,260.61,12.5855,133.1468373,28.3298154,133.1468373,28.3298154
55 Cnc b,14.653,,266.9772,12.5855,133.1468373,28.3298154,133.1468373,28.3298154
55 Cnc b,14.67,,249.17872,12.5855,133.1468373,28.3298154,133.1468373,28.3298154
55 Cnc b,14.647,,289.21,12.5855,133.1468373,28.3298154,133.1468373,28.3298154
55 Cnc b,14.65171,,267.29369,12.5855,133.1468373,28.3298154,133.1468373,28.3298154
55 Cnc b,14.465314,,266.966,12.5855,133.1468373,28.3298154,133.1468373,28.3298154
55 Cnc b,14.6516,,255.4,12.5855,133.1468373,28.3298154,133.1468373,28.3298154
55 Cnc b,14.65152,,263.9785,12.5855,133.1468373,28.3298154,133.1468373,28.3298154
55 Cnc b,14.648,,266.9772,12.5855,133.1468373,28.3298154,133.1468373,28.3298154
55 Cnc b,14.6,,254.25,12.5855,133.1468373,28.3298154,133.1468373,28.3298154
55 Cnc b,14.651,,254.25,12.5855,133.1468373,28.3298154,133.1468373,28.3298154
55 Cnc c,44.3989,,51.2,12.5855,133.1468373,28.3298154,133.1468373,28.3298154
55 Cnc c,44.373,,56.6985,12.5855,133.1468373,28.3298154,133.1468373,28.3298154
55 Cnc c,44.3787,,52.44,12.5855,133.1468373,28.3298154,133.1468373,28.3298154
55 Cnc c,43.93,,68.96911,12.5855,133.1468373,28.3298154,133.1468373,28.3298154
55 Cnc c,44.3827,,54.34866,12.5855,133.1468373,28.3298154,133.1468373,28.3298154
55 Cnc c,44.38,,52.44,12.5855,133.1468373,28.3298154,133.1468373,28.3298154
55 Cnc c,44.3446,,53.711,12.5855,133.1468373,28.3298154,133.1468373,28.3298154
55 Cnc c,44.4175,,54.4738,12.5855,133.1468373,28.3298154,133.1468373,28.3298154
55 Cnc d,4867.0,,1226.77,12.5855,133.1468373,28.3298154,133.1468373,28.3298154
55 Cnc d,5370.0,,1220.42,12.5855,133.1468373,28.3298154,133.1468373,28.3298154
55 Cnc d,4545.0,,918.49,12.5855,133.1468373,28.3298154,133.1468373,28.3298154
55 Cnc d,4517.4,,1243.35096,12.5855,133.1468373,28.3298154,133.1468373,28.3298154
55 Cnc d,4825.0,,1232.493,12.5855,133.1468373,28.3298154,133.1468373,28.3298154
55 Cnc d,5574.2,,991.6,12.5855,133.1468373,28.3298154,133.1468373,28.3298154
55 Cnc d,4820.0,,908.98924,12.5855,133.1468373,28.3298154,133.1468373,28.3298154
55 Cnc d,5360.0,,1287.2115,12.5855,133.1468373,28.3298154,133.1468373,28.3298154
55 Cnc d,4909.0,,1121.89,12.5855,133.1468373,28.3298154,133.1468373,28.3298154
55 Cnc d,5218.0,,1218.827,12.5855,133.1468373,28.3298154,133.1468373,28.3298154
55 Cnc e,0.7365474,1.875,7.99,12.5855,133.1468373,28.3298154,133.1468373,28.3298154
55 Cnc e,0.7365417,,,12.5855,133.1468373,28.3298154,133.1468373,28.3298154
55 Cnc e,0.7365478,,8.09479,12.5855,133.1468373,28.3298154,133.1468373,28.3298154
55 Cnc e,0.73654582,1.915,,12.5855,133.1468373,28.3298154,133.1468373,28.3298154
55 Cnc e,0.736539,1.91,8.08,12.5855,133.1468373,28.3298154,133.1468373,28.3298154
55 Cnc e,0.73654604,,,12.5855,133.1468373,28.3298154,133.1468373,28.3298154
55 Cnc e,,,,12.5855,133.1468373,28.3298154,133.1468373,28.3298154
55 Cnc e,0.7365437,2.08,7.81,12.5855,133.1468373,28.3298154,133.1468373,28.3298154
55 Cnc e,0.737,1.897,7.74,12.5855,133.1468373,28.3298154,133.1468373,28.3298154
55 Cnc e,2.808,,14.30235,12.5855,133.1468373,28.3298154,133.1468373,28.3298154
55 Cnc e,0.7365515,,8.13928,12.5855,133.1468373,28.3298154,133.1468373,28.3298154
55 Cnc e,0.736546,2.173,8.37,12.5855,133.1468373,28.3298154,133.1468373,28.3298154
55 Cnc e,,1.92,8.08,12.5855,133.1468373,28.3298154,133.1468373,28.3298154
55 Cnc e,2.79674,,7.4687,12.5855,133.1468373,28.3298154,133.1468373,28.3298154
55 Cnc e,0.7365474,1.947,8.59,12.5855,133.1468373,28.3298154,133.1468373,28.3298154
55 Cnc e,0.73654,2.0,8.63,12.5855,133.1468373,28.3298154,133.1468373,28.3298154
55 Cnc e,0.7365445,,9.37594,12.5855,133.1468373,28.3298154,133.1468373,28.3298154
55 Cnc e,0.73654625,,,12.5855,133.1468373,28.3298154,133.1468373,28.3298154
55 Cnc f,259.88,,47.8,12.5855,133.1468373,28.3298154,133.1468373,28.3298154
55 Cnc f,260.91,,47.0051,12.5855,133.1468373,28.3298154,133.1468373,28.3298154
55 Cnc f,261.2,,54.664,12.5855,133.1468373,28.3298154,133.1468373,28.3298154
55 Cnc f,260.98,,46.87969,12.5855,133.1468373,28.3298154,133.1468373,28.3298154
55 Cnc f,260.0,,45.766,12.5855,133.1468373,28.3298154,133.1468373,28.3298154
55 Cnc f,262.0,,44.812,12.5855,133.1468373,28.3298154,133.1468373,28.3298154
55 Cnc f,260.7,,44.812,12.5855,133.1468373,28.3298154,133.1468373,28.3298154
6 Lyn b,899.0,,762.8,54.6599,97.6960311,58.1611753,97.6960311,58.1611753
6 Lyn b,874.774,,702.4043,54.6599,97.6960311,58.1611753,97.6960311,58.1611753
6 Lyn b,919.86,,597.83523,54.6599,97.6960311,58.1611753,97.6960311,58.1611753
6 Lyn b,934.3,,638.8383,54.6599,97.6960311,58.1611753,97.6960311,58.1611753
61 Vir b,4.21487,,5.11704,8.50332,199.596455,-18.3157745,199.596455,-18.3157745
61 Vir b,4.215,,5.1,8.50332,199.596455,-18.3157745,199.596455,-18.3157745
61 Vir c,38.0957,,16.1139,8.50332,199.596455,-18.3157745,199.596455,-18.3157745
61 Vir c,38.021,,18.2,8.50332,199.596455,-18.3157745,199.596455,-18.3157745
61 Vir d,123.01,,22.9,8.50332,199.596455,-18.3157745,199.596455,-18.3157745
7 CMa b,,,616.5,19.8101,99.171276,-19.2561808,99.171276,-19.2561808
7 CMa b,763.0,,826.3,19.8101,99.171276,-19.2561808,99.171276,-19.2561808
7 CMa b,796.0,,781.8618,19.8101,99.171276,-19.2561808,99.171276,-19.2561808
7 CMa b,735.1,,587.9855,19.8101,99.171276,-19.2561808,99.171276,-19.2561808
7 CMa c,996.0,,276.5121,19.8101,99.171276,-19.2561808,99.171276,-19.2561808
7 CMa c,,,289.9,19.8101,99.171276,-19.2561808,99.171276,-19.2561808
70 Vir b,116.6884,,2421.8646,17.9011,202.1064898,13.7763085,202.1064898,13.7763085
70 Vir b,116.688,,2357.02728,17.9011,202.1064898,13.7763085,202.1064898,13.7763085
70 Vir b,116.69335,,2297.89938,17.9011,202.1064898,13.7763085,202.1064898,13.7763085
70 Vir b,116.6884,,2380.45,17.9011,202.1064898,13.7763085,202.1064898,13.7763085
70 Vir b,116.689,,2084.88,17.9011,202.1064898,13.7763085,202.1064898,13.7763085
70 Vir b,116.6926,,2351.942,17.9011,202.1064898,13.7763085,202.1064898,13.7763085
75 Cet b,696.62,,787.89662,82.9613,38.0391598,-1.0350269,38.0391598,-1.0350269
75 Cet b,691.9,,953.49,82.9613,38.0391598,-1.0350269,38.0391598,-1.0350269
75 Cet c,2051.62,,289.85951,82.9613,38.0391598,-1.0350269,38.0391598,-1.0350269
8 UMi b,93.4,,416.3573,162.552,224.201685,74.9009379,224.201685,74.9009379
8 UMi b,93.4,,476.745,162.552,224.201685,74.9009379,224.201685,74.9009379
81 Cet b,952.7,,1684.4,101.26,39.4243555,-3.3963607,39.4243555,-3.3963607
81 Cet b,,,1274.4,101.26,39.4243555,-3.3963607,39.4243555,-3.3963607
81 Cet b,1005.57,,1051.05854,101.26,39.4243555,-3.3963607,39.4243555,-3.3963607
91 Aqr b,181.4,,1017.0,44.0304,348.9745031,-9.0878076,348.9745031,-9.0878076
AB Aur b,,,2860.45566,162.127,73.9410446,30.5510888,73.9410446,30.5510888
AB Pic b,,,4290.5,50.0475,94.8039208,-58.0541184,94.8039208,-58.0541184
AF Lep b,8030.0,,1017.0509,26.8564,81.7699216,-11.9011752,81.7699216,-11.9011752
AF Lep b,7520.0,,1664.46737,26.8564,81.7699216,-11.9011752,81.7699216,-11.9011752
AF Lep b,9060.0,,1366.66215,26.8564,81.7699216,-11.9011752,81.7699216,-11.9011752
AU Mic b,8.4629991,,20.12,9.7221,311.2911369,-31.34245,311.2911369,-31.34245
AU Mic b,8.4630004,4.19,,9.7221,311.2911369,-31.34245,311.2911369,-31.34245
AU Mic b,8.46321,,17.1,9.7221,311.2911369,-31.34245,311.2911369,-31.34245
AU Mic b,8.463,4.07,17.0,9.7221,311.2911369,-31.34245,311.2911369,-31.34245
AU Mic b,8.46321,4.203,57.2094,9.7221,311.2911369,-31.34245,311.2911369,-31.34245
AU Mic b,8.46308,3.957,,9.7221,311.2911369,-31.34245,311.2911369,-31.34245
AU Mic b,8.46321,,,9.7221,311.2911369,-31.34245,311.2911369,-31.34245
AU Mic b,8.4631427,,10.2,9.7221,311.2911369,-31.34245,311.2911369,-31.34245
AU Mic b,,4.027,,9.7221,311.2911369,-31.34245,311.2911369,-31.34245
AU Mic b,8.463,,11.7,9.7221,311.2911369,-31.34245,311.2911369,-31.34245
AU Mic c,18.85882,,14.2,9.7221,311.2911369,-31.34245,311.2911369,-31.34245
AU Mic c,18.85969,2.522,,9.7221,311.2911369,-31.34245,311.2911369,-31.34245
AU Mic c,18.858991,,9.6,9.7221,311.2911369,-31.34245,311.2911369,-31.34245
AU Mic c,18.859019,3.24,13.6,9.7221,311.2911369,-31.34245,311.2911369,-31.34245
AU Mic c,18.859019,,22.2,9.7221,311.2911369,-31.34245,311.2911369,-31.34245
AU Mic c,18.858982,2.79,,9.7221,311.2911369,-31.34245,311.2911369,-31.34245
AU Mic d,12.73596,,1.053,9.7221,311.2911369,-31.34245,311.2911369,-31.34245
BD+03 2562 b,481.9,,2034.112,1070.63,177.5647268,2.7601075,177.5647268,2.7601075
BD+14 4559 b,268.94,,330.5432,49.352,318.4010002,14.6893834,318.4010002,14.6893834
BD+14 4559 b,268.94,,467.19,49.352,318.4010002,14.6893834,318.4010002,14.6893834
BD+15 2375 b,153.22,,337.21763,768.045,176.4820239,14.6163182,176.4820239,14.6163182
BD+15 2940 b,137.48,,352.78,426.42,240.09564,15.5467507,240.09564,15.5467507
BD+20 2457 b,379.63,,6807.63,1539.71,154.186782,19.8912626,154.186782,19.8912626
BD+20 2457 b,379.63,,17668.1697,1539.71,154.186782,19.8912626,154.186782,19.8912626
BD+20 2457 c,621.99,,3963.17,1539.71,154.186782,19.8912626,154.186782,19.8912626
BD+20 274 b,578.2,,1334.886,1322.51,25.9203179,21.0052692,25.9203179,21.0052692
BD+20 594 b,41.688644,2.355,,179.461,53.6511231,20.5990205,53.6511231,20.5990205
BD+20 594 b,41.6855,2.578,22.2481,179.461,53.6511231,20.5990205,53.6511231,20.5990205
BD+20 594 b,41.6855,2.23,16.3,179.461,53.6511231,20.5990205,53.6511231,20.5990205
BD+45 564 b,307.88,,432.24663,53.622,32.9470485,45.9242187,32.9470485,45.9242187
BD+48 738 b,392.6,,289.2253,871.493,40.7102869,49.5869395,40.7102869,49.5869395
BD+48 740 b,733.0,,540.311,666.589,40.7425426,48.9300579,40.7425426,48.9300579
BD+49 828 b,2590.0,,508.5,442.042,45.6406187,49.7299481,45.6406187,49.7299481
BD+55 362 b,265.59,,228.83645,52.5697,23.9636676,56.6982282,23.9636676,56.6982282
BD+60 1417 b,,14.684,4767.4261,44.9543,190.8875453,60.0143636,190.8875453,60.0143636
BD+63 1405 b,1198.48,,1258.60049,38.0473,271.3979337,63.6700064,271.3979337,63.6700064
BD+63 1405 b,1230.0,,3305.41543,38.0473,271.3979337,63.6700064,271.3979337,63.6700064
BD-06 1339 b,3.8728,,8.5,20.2695,88.2511811,-5.9963378,88.2511811,-5.9963378
BD-06 1339 c,125.94,,53.0,20.2695,88.2511811,-5.9963378,88.2511811,-5.9963378
BD-08 2823 b,5.6,,12.7132,41.3342,150.1971964,-9.5165689,150.1971964,-9.5165689
BD-08 2823 b,5.6,,14.4,41.3342,150.1971964,-9.5165689,150.1971964,-9.5165689
BD-08 2823 c,237.6,,104.0,41.3342,150.1971964,-9.5165689,150.1971964,-9.5165689
BD-10 3166 b,3.48777,,145.56,84.4069,164.6191243,-10.7704227,164.6191243,-10.7704227
BD-10 3166 b,3.48777,,187.5197,84.4069,164.6191243,-10.7704227,164.6191243,-10.7704227
BD-10 3166 b,3.487905,,142.70495,84.4069,164.6191243,-10.7704227,164.6191243,-10.7704227
BD-10 3166 b,3.487,,152.55,84.4069,164.6191243,-10.7704227,164.6191243,-10.7704227
BD-11 4672 b,1667.0,,168.44,27.1665,278.3688659,-11.6370481,278.3688659,-11.6370481
BD-11 4672 b,1634.0,,206.5895,27.1665,278.3688659,-11.6370481,278.3688659,-11.6370481
BD-11 4672 c,74.2,,15.37,27.1665,278.3688659,-11.6370481,278.3688659,-11.6370481
BD-13 2130 b,714.29999,,3108.3774,925.214,114.2884692,-13.9066703,114.2884692,-13.9066703
BD-13 2130 b,714.3,,3368.998,925.214,114.2884692,-13.9066703,114.2884692,-13.9066703
BD-14 3065 b,4.2889696,20.711,,589.423,153.6696689,-15.6428372,153.6696689,-15.6428372
BD-14 3065 b,4.2889731,21.59,3932.0,589.423,153.6696689,-15.6428372,153.6696689,-15.6428372
BD-17 63 b,655.57,,1639.99458,34.4603,7.1413494,-16.2273254,7.1413494,-16.2273254
BD-17 63 b,655.59998,,905.8155,34.4603,7.1413494,-16.2273254,7.1413494,-16.2273254
BD-17 63 b,649.0,,1366.66215,34.4603,7.1413494,-16.2273254,7.1413494,-16.2273254
BD-17 63 b,655.6,,1620.9,34.4603,7.1413494,-16.2273254,7.1413494,-16.2273254
BD-210397 b,1891.0,,214.0,23.7324,33.3024198,-21.1962147,33.3024198,-21.1962147
BD-210397 c,6240.0,,1525.57635,23.7324,33.3024198,-21.1962147,33.3024198,-21.1962147
BD-210397 c,6360.0,,759.0,23.7324,33.3024198,-21.1962147,33.3024198,-21.1962147
CD Cet b,2.2907,,3.95,8.60715,48.3530155,4.7751881,48.3530155,4.7751881
CFBDSIR J145829+101343 b,10037.5,,3337.1,,224.6208333,10.2286111,224.6208333,10.2286111
CFHTWIR-Oph 98 b,8040000.0,20.849,2479.06157,,246.934277,-23.98115,246.934277,-23.98115
CHXR 73 b,,,3994.486,190.374,166.6193985,-77.6258725,166.6193985,-77.6258725
CI Tau c,25.2,,1144.18227,157.998,68.4667685,22.8416192,68.4667685,22.8416192
COCONUTS-2 b,402000000.0,12.442,2002.31896,10.8864,117.300914,-76.702696,117.300914,-76.702696
CT Cha b,,24.66,5403.0,190.72,166.0375038,-76.4553693,166.0375038,-76.4553693
CoRoT-1 b,1.5089635,20.594,,787.909,102.0798591,-3.1021394,102.0798591,-3.1021394
CoRoT-1 b,1.5089686,17.385,327.3649,787.909,102.0798591,-3.1021394,102.0798591,-3.1021394
CoRoT-1 b,1.5089557,16.7,327.35,787.909,102.0798591,-3.1021394,102.0798591,-3.1021394
CoRoT-1 b,1.5089682,19.223,390.9309,787.909,102.0798591,-3.1021394,102.0798591,-3.1021394
CoRoT-1 b,1.5089557,16.589,359.1479,787.909,102.0798591,-3.1021394,102.0798591,-3.1021394
CoRoT-1 b,1.50896877,,,787.909,102.0798591,-3.1021394,102.0798591,-3.1021394
CoRoT-1 b,1.50897655,15.917,340.0781,787.909,102.0798591,-3.1021394,102.0798591,-3.1021394
CoRoT-10 b,13.2406,10.548,883.5674,338.386,291.0636813,0.7460143,291.0636813,0.7460143
CoRoT-10 b,13.2406,10.873,867.6759,338.386,291.0636813,0.7460143,291.0636813,0.7460143
CoRoT-10 b,13.2406,10.87,874.0,338.386,291.0636813,0.7460143,291.0636813,0.7460143
CoRoT-11 b,2.99433,16.03,740.51,655.037,280.6872998,5.9376586,280.6872998,5.9376586
CoRoT-11 b,2.99433,15.984,743.7222,655.037,280.6872998,5.9376586,280.6872998,5.9376586
CoRoT-11 b,,,,655.037,280.6872998,5.9376586,280.6872998,5.9376586
CoRoT-11 b,2.994325,15.581,791.3967,655.037,280.6872998,5.9376586,280.6872998,5.9376586
CoRoT-11 b,2.994325,16.029,832.7146,655.037,280.6872998,5.9376586,280.6872998,5.9376586
CoRoT-11 b,2.99427803,,,655.037,280.6872998,5.9376586,280.6872998,5.9376586
CoRoT-12 b,2.828042,15.132,281.91521,1126.37,100.7656871,-1.2964437,100.7656871,-1.2964437
CoRoT-12 b,2.82803915,17.76,,1126.37,100.7656871,-1.2964437,100.7656871,-1.2964437
CoRoT-12 b,2.828042,16.14,291.438,1126.37,100.7656871,-1.2964437,100.7656871,-1.2964437
CoRoT-12 b,2.828042,16.141,290.81445,1126.37,100.7656871,-1.2964437,100.7656871,-1.2964437
CoRoT-12 b,2.82805268,15.065,277.46559,1126.37,100.7656871,-1.2964437,100.7656871,-1.2964437
CoRoT-12 b,2.828041,,,1126.37,100.7656871,-1.2964437,100.7656871,-1.2964437
CoRoT-13 b,4.03519,9.92,415.704,1148.93,102.7211432,-5.0864557,102.7211432,-5.0864557
CoRoT-13 b,4.03515,,,1148.93,102.7211432,-5.0864557,102.7211432,-5.0864557
CoRoT-13 b,4.03519,9.92,423.03173,1148.93,102.7211432,-5.0864557,102.7211432,-5.0864557
CoRoT-13 b,4.03504444,12.533,,1148.93,102.7211432,-5.0864557,102.7211432,-5.0864557
CoRoT-13 b,4.03519,14.034,416.99296,1148.93,102.7211432,-5.0864557,102.7211432,-5.0864557
CoRoT-14 b,1.51214,12.22,2415.4,1744.6,103.4242023,-5.5360385,103.4242023,-5.5360385
CoRoT-14 b,1.51214,12.218,2358.2986,1744.6,103.4242023,-5.5360385,103.4242023,-5.5360385
CoRoT-14 b,1.51214,11.411,2437.7561,1744.6,103.4242023,-5.5360385,103.4242023,-5.5360385
CoRoT-16 b,5.35227,13.115,168.13207,732.409,278.5246658,-6.0026026,278.5246658,-6.0026026
CoRoT-16 b,5.35227,13.11,170.032,732.409,278.5246658,-6.0026026,278.5246658,-6.0026026
CoRoT-17 b,3.7681,11.43,772.29,1176.12,278.699236,-6.612288,278.699236,-6.612288
CoRoT-17 b,3.7681,11.287,781.8618,1176.12,278.699236,-6.612288,278.699236,-6.612288
CoRoT-17 b,3.7681,11.433,765.9703,1176.12,278.699236,-6.612288,278.699236,-6.612288
CoRoT-18 b,1.9000769,,,764.889,98.1724172,-0.0316045,98.1724172,-0.0316045
CoRoT-18 b,1.90009,12.846,1048.839,764.889,98.1724172,-0.0316045,98.1724172,-0.0316045
CoRoT-18 b,1.90008625,15.05,,764.889,98.1724172,-0.0316045,98.1724172,-0.0316045
CoRoT-18 b,1.9000693,14.684,1099.6918,764.889,98.1724172,-0.0316045,98.1724172,-0.0316045
CoRoT-18 b,1.9000693,14.022,1039.3041,764.889,98.1724172,-0.0316045,98.1724172,-0.0316045
CoRoT-18 b,1.9000693,14.68,1102.82,764.889,98.1724172,-0.0316045,98.1724172,-0.0316045
CoRoT-19 b,3.89713,13.339,346.4347,790.663,97.0335983,-0.1707293,97.0335983,-0.1707293
CoRoT-19 b,3.8971379,,,790.663,97.0335983,-0.1707293,97.0335983,-0.1707293
CoRoT-19 b,3.89713,14.46,352.78,790.663,97.0335983,-0.1707293,97.0335983,-0.1707293
CoRoT-19 b,3.89712026,13.493,,790.663,97.0335983,-0.1707293,97.0335983,-0.1707293
CoRoT-19 b,3.89713,14.46,367.09365,790.663,97.0335983,-0.1707293,97.0335983,-0.1707293
CoRoT-19 b,3.897131,,,790.663,97.0335983,-0.1707293,97.0335983,-0.1707293
CoRoT-2 b,1.7429964,16.421,1051.973,213.283,291.7770457,1.3836634,291.7770457,1.3836634
CoRoT-2 b,1.7429975,15.85,1052.0173,213.283,291.7770457,1.3836634,291.7770457,1.3836634
CoRoT-2 b,1.74299673,16.432,1048.839,213.283,291.7770457,1.3836634,291.7770457,1.3836634
CoRoT-2 b,1.74301433,16.923,,213.283,291.7770457,1.3836634,291.7770457,1.3836634
CoRoT-2 b,1.7429935,16.365,1134.6531,213.283,291.7770457,1.3836634,291.7770457,1.3836634
CoRoT-2 b,1.742997,,,213.283,291.7770457,1.3836634,291.7770457,1.3836634
CoRoT-2 b,1.7429935,16.432,1102.82,213.283,291.7770457,1.3836634,291.7770457,1.3836634
CoRoT-2 b,1.7429935,16.477,1150.5446,213.283,291.7770457,1.3836634,291.7770457,1.3836634
